# target, rate (300), upper limit (0, 1), lower limit factor, upper limit factor
HD 2071,   1e-3,   0, 5.3, 2.4
HD 42618,  1e-3,   1, 0,   3.8
HD 114174, 1e-4,   1, 0,   5.1
HD 25874,  1.3e-4, 1, 0,   6.9
HD 210918, 7.4e-4, 0, 2.9, 1.8
HD 45289,  9.2e-5, 1, 0,   6.6
HD 135101, 4.9e-4, 0, 5.1, 2.0
HD 39881,  1.5e-4, 1, 0,   4.2
